customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
25,70,Female,Blouse,Clothing,173.99,Washington,L,Green,Winter,2.7,1,Free Shipping,1,8,Cash,Monthly,66+,30
26,35,Female,Coat,Outerwear,194.09,Illinois,XL,White,Summer,3.0,1,Next Day,0,11,Credit Card,Weekly,26-35,7
27,37,Male,Sweater,Outerwear,175.8,Texas,M,White,Spring,2.6,0,Free Shipping,0,4,Venmo,Annually,36-50,365
28,38,Male,Loafers,Footwear,154.49,California,S,Green,Spring,4.7,0,Express,0,7,Credit Card,Annually,36-50,365
29,22,Male,Belt,Accessories,181.23,Texas,M,White,Spring,4.7,1,Standard,1,10,Credit Card,Monthly,18-25,30
30,60,Male,Scarf,Accessories,28.57,Illinois,S,Green,Spring,1.4,0,Next Day,0,7,Bank Transfer,Fortnightly,51-65,14
31,62,Male,Backpack,Accessories,173.8,Illinois,L,Green,Spring,1.4,1,Next Day,1,4,Credit Card,Annually,51-65,365
32,58,Male,Sandals,Footwear,233.89,New York,S,Black,Fall,4.7,0,Standard,0,4,Credit Card,Monthly,51-65,30
33,46,Female,Belt,Accessories,242.56,Florida,M,Red,Winter,2.0,1,Next Day,0,11,PayPal,Fortnightly,36-50,14
34,50,Female,Sneakers,Footwear,194.83,California,M,Blue,Fall,4.5,0,Standard,0,4,Cash,Annually,36-50,365
35,26,Female,Scarf,Accessories,134.29,New York,XL,White,Fall,3.4,0,Standard,1,3,Cash,Fortnightly,26-35,14
36,64,Male,Jacket,Outerwear,213.72,Texas,L,Green,Winter,1.4,1,Next Day,0,15,Bank Transfer,Fortnightly,51-65,14
37,62,Female,Blouse,Clothing,247.09,California,M,Black,Fall,4.4,0,Free Shipping,1,9,PayPal,Weekly,51-65,7
38,69,Male,Blouse,Clothing,250.39,Texas,L,Red,Spring,2.7,1,Free Shipping,1,14,Venmo,Fortnightly,66+,14
39,56,Male,Shirt,Clothing,299.33,California,XL,Blue,Fall,1.3,0,Express,0,9,Bank Transfer,Annually,51-65,365
40,66,Female,Blouse,Clothing,232.83,Washington,L,Red,Fall,3.5,1,Express,1,2,Credit Card,Fortnightly,66+,14
41,35,Male,Sneakers,Footwear,202.0,Florida,M,White,Spring,3.05,0,Express,0,7,Cash,Fortnightly,26-35,14
42,41,Female,Dress,Clothing,36.74,Illinois,S,Green,Spring,3.4,1,Free Shipping,1,5,Credit Card,Monthly,36-50,30
43,55,Female,Skirt,Clothing,211.44,Texas,L,Black,Summer,3.8,0,Free Shipping,0,12,PayPal,Annually,51-65,365
44,43,Male,Hat,Accessories,276.67,California,L,Blue,Summer,1.7,1,Express,1,9,Bank Transfer,Fortnightly,36-50,14
45,52,Male,Sneakers,Footwear,215.73,Florida,L,Black,Spring,2.9,0,Free Shipping,0,8,Credit Card,Weekly,51-65,7
46,42,Male,Skirt,Clothing,54.55,California,L,Yellow,Summer,4.3,1,Free Shipping,0,15,Credit Card,Monthly,36-50,30
47,19,Male,Backpack,Accessories,143.56,California,M,Yellow,Winter,2.5,0,Express,1,12,PayPal,Annually,18-25,365
48,67,Male,Belt,Accessories,205.73,Florida,M,Green,Spring,2.1,0,Free Shipping,0,1,Bank Transfer,Weekly,66+,7
49,21,Female,Jacket,Outerwear,129.65,Illinois,XL,Green,Spring,1.6,0,Express,1,2,PayPal,Annually,18-25,365
50,45,Male,Jacket,Outerwear,196.09,Illinois,M,Red,Summer,2.7,0,Standard,0,6,Venmo,Fortnightly,36-50,14
51,64,Female,Pants,Clothing,284.55,Washington,M,Red,Winter,2.9,0,Next Day,1,6,Venmo,Annually,51-65,365
52,50,Male,Dress,Clothing,228.9,Washington,XL,Blue,Fall,2.2,0,Free Shipping,0,13,Credit Card,Annually,36-50,365
53,47,Female,Pants,Clothing,156.06,New York,M,White,Fall,3.1,0,Next Day,0,6,Cash,Fortnightly,36-50,14
54,42,Male,Hoodie,Outerwear,98.98,New York,XL,Blue,Fall,3.3,0,Express,0,9,Venmo,Annually,36-50,365
55,40,Male,Dress,Clothing,114.15,California,XL,Blue,Winter,3.4,0,Express,0,13,Cash,Monthly,36-50,30
56,42,Male,Loafers,Footwear,293.93,Washington,L,Green,Winter,2.1,0,Free Shipping,1,9,Bank Transfer,Weekly,36-50,7
57,51,Male,Sneakers,Footwear,80.98,Texas,L,White,Summer,3.8,1,Free Shipping,1,1,PayPal,Annually,51-65,365
58,25,Female,Scarf,Accessories,288.58,California,M,Green,Fall,2.7,0,Standard,0,8,Bank Transfer,Fortnightly,18-25,14
59,31,Male,Sandals,Footwear,58.19,Washington,L,Blue,Spring,3.7,1,Next Day,0,3,Cash,Fortnightly,26-35,14
60,44,Female,Boots,Footwear,261.96,Florida,XL,Yellow,Fall,3.5,1,Next Day,0,11,Venmo,Fortnightly,36-50,14
61,21,Male,Hat,Accessories,43.11,California,S,White,Fall,4.9,1,Free Shipping,0,3,Cash,Monthly,18-25,30
62,32,Female,Jacket,Outerwear,278.33,New York,L,White,Winter,4.3,1,Standard,0,12,PayPal,Fortnightly,26-35,14
63,61,Female,Coat,Outerwear,105.74,California,L,Black,Fall,1.5,0,Express,0,8,PayPal,Weekly,51-65,7
64,66,Male,Hoodie,Outerwear,211.61,Washington,XL,Red,Spring,1.7,1,Next Day,1,9,Cash,Annually,66+,365
65,27,Male,Blouse,Clothing,179.94,Florida,M,White,Fall,4.3,0,Free Shipping,1,11,Bank Transfer,Monthly,26-35,30
66,68,Female,Hoodie,Outerwear,210.29,Illinois,XL,White,Spring,2.2,0,Next Day,0,9,Venmo,Fortnightly,66+,14
67,54,Male,Skirt,Clothing,77.48,Washington,S,Red,Fall,4.0,0,Free Shipping,1,11,Cash,Annually,51-65,365
68,19,Male,Sneakers,Footwear,73.19,New York,L,Yellow,Summer,4.0,0,Next Day,1,6,Bank Transfer,Weekly,18-25,7
69,52,Female,Hoodie,Outerwear,172.5,Washington,M,White,Summer,1.4,1,Next Day,0,11,PayPal,Monthly,51-65,30
70,68,Male,Backpack,Accessories,102.74,Florida,M,Yellow,Summer,2.4,0,Standard,1,9,PayPal,Fortnightly,66+,14
71,33,Female,Loafers,Footwear,83.73,Texas,L,Blue,Fall,4.6,0,Standard,1,13,Credit Card,Weekly,26-35,7
72,30,Male,Belt,Accessories,237.11,New York,S,Yellow,Fall,2.6,0,Express,1,15,Cash,Weekly,26-35,7
73,27,Male,Loafers,Footwear,151.63,Illinois,M,Black,Summer,2.0,1,Free Shipping,0,2,Bank Transfer,Annually,26-35,365
74,22,Female,Skirt,Clothing,47.38,California,S,Red,Winter,4.5,0,Next Day,0,9,Venmo,Monthly,18-25,30
75,46,Male,Coat,Outerwear,81.39,Washington,M,Yellow,Summer,2.3,0,Express,1,13,PayPal,Weekly,36-50,7
76,70,Male,Coat,Outerwear,213.36,Florida,L,Blue,Spring,3.0,1,Free Shipping,0,13,PayPal,Weekly,66+,7
77,30,Female,Hoodie,Outerwear,80.55,California,S,Black,Fall,4.2,1,Free Shipping,1,10,Bank Transfer,Annually,26-35,365
78,20,Male,Coat,Outerwear,229.63,Texas,L,Blue,Winter,3.4,1,Express,0,10,Venmo,Monthly,18-25,30
79,66,Female,Backpack,Accessories,62.03,Texas,L,Black,Summer,1.6,0,Express,1,12,PayPal,Monthly,66+,30
80,53,Male,Scarf,Accessories,238.58,Texas,L,Green,Spring,2.7,0,Next Day,1,3,Venmo,Annually,51-65,365
81,39,Male,Hoodie,Outerwear,136.53,New York,XL,White,Spring,3.0,0,Free Shipping,1,5,PayPal,Fortnightly,36-50,14
82,26,Male,Boots,Footwear,215.75,Florida,S,Black,Fall,3.8,1,Next Day,1,14,Cash,Annually,26-35,365
83,47,Female,Backpack,Accessories,23.72,Florida,M,Red,Winter,3.3,0,Next Day,0,13,PayPal,Annually,36-50,365
84,29,Female,Hat,Accessories,278.04,Illinois,L,Black,Spring,1.6,1,Next Day,1,6,PayPal,Weekly,26-35,7
85,36,Male,Pants,Clothing,254.24,Illinois,S,Yellow,Summer,1.5,1,Free Shipping,0,6,Cash,Annually,36-50,365
86,51,Female,Pants,Clothing,118.78,Illinois,XL,Red,Summer,1.0,1,Standard,0,9,Credit Card,Weekly,51-65,7
87,46,Female,Sweater,Outerwear,109.34,Florida,XL,Black,Summer,3.6,1,Express,1,14,Bank Transfer,Weekly,36-50,7
88,47,Female,Sandals,Footwear,20.96,Florida,L,Green,Spring,2.7,1,Next Day,1,13,Venmo,Weekly,36-50,7
89,45,Male,Blouse,Clothing,235.47,Washington,S,White,Summer,1.9,1,Standard,1,10,Credit Card,Weekly,36-50,7
90,49,Male,Scarf,Accessories,134.25,Illinois,L,Black,Spring,2.4,0,Express,0,9,Credit Card,Annually,36-50,365
91,31,Male,Hoodie,Outerwear,263.43,California,L,Red,Fall,1.7,1,Free Shipping,1,8,Venmo,Annually,26-35,365
92,42,Male,Boots,Footwear,273.0,New York,S,Green,Spring,3.1,0,Free Shipping,0,12,PayPal,Fortnightly,36-50,14
93,60,Male,Sweater,Outerwear,211.14,Florida,M,White,Fall,1.5,0,Standard,0,12,Bank Transfer,Annually,51-65,365
94,19,Male,Skirt,Clothing,250.82,California,S,Red,Fall,2.7,1,Express,1,15,PayPal,Monthly,18-25,30
95,48,Female,Sneakers,Footwear,268.42,California,M,White,Fall,4.1,0,Standard,1,14,Credit Card,Monthly,36-50,30
96,41,Female,Boots,Footwear,290.52,Washington,XL,Red,Summer,3.5,1,Next Day,1,14,Venmo,Weekly,36-50,7
97,22,Male,Dress,Clothing,108.39,Washington,L,Black,Winter,3.0,1,Next Day,0,5,PayPal,Fortnightly,18-25,14
98,45,Male,Backpack,Accessories,251.64,Florida,L,Red,Spring,2.4,0,Free Shipping,1,14,PayPal,Monthly,36-50,30
99,20,Male,Dress,Clothing,258.18,California,M,Blue,Spring,2.0,0,Express,1,6,PayPal,Monthly,18-25,30
100,63,Female,Boots,Footwear,35.14,Texas,L,Red,Summer,3.3,0,Free Shipping,0,11,Credit Card,Annually,51-65,365
101,42,Female,Skirt,Clothing,45.44,Texas,L,White,Winter,2.5,0,Express,0,3,Credit Card,Annually,36-50,365
102,23,Female,Belt,Accessories,64.17,Illinois,L,Red,Summer,4.1,0,Next Day,1,5,PayPal,Fortnightly,18-25,14
103,27,Male,Sunglasses,Accessories,146.28,Washington,M,Black,Fall,2.7,0,Express,0,2,Cash,Annually,26-35,365
104,56,Male,Pants,Clothing,28.93,California,XL,Black,Summer,4.0,1,Free Shipping,1,8,Bank Transfer,Fortnightly,51-65,14
105,43,Male,Hoodie,Outerwear,56.63,Texas,XL,Black,Summer,4.7,0,Express,1,4,Cash,Annually,36-50,365
106,54,Male,Pants,Clothing,136.28,Florida,M,White,Fall,2.6,0,Free Shipping,1,15,Bank Transfer,Weekly,51-65,7
107,31,Male,Coat,Outerwear,45.0,Texas,L,Red,Fall,4.9,1,Next Day,1,12,Credit Card,Fortnightly,26-35,14
108,42,Male,Sneakers,Footwear,270.07,Florida,S,White,Summer,1.9,1,Express,0,15,PayPal,Weekly,36-50,7
109,42,Female,Scarf,Accessories,118.05,Texas,XL,Red,Fall,4.4,1,Next Day,0,14,PayPal,Weekly,36-50,7
110,53,Female,Blouse,Clothing,141.03,New York,M,Yellow,Summer,4.9,1,Standard,0,14,Bank Transfer,Annually,51-65,365
111,40,Female,Hat,Accessories,215.73,California,XL,Blue,Winter,2.1,0,Free Shipping,1,9,PayPal,Fortnightly,36-50,14
112,66,Female,Pants,Clothing,103.48,Illinois,L,White,Spring,2.7,0,Next Day,0,1,PayPal,Fortnightly,66+,14
113,21,Female,Sneakers,Footwear,115.53,Texas,S,Red,Summer,1.9,1,Express,0,5,PayPal,Weekly,18-25,7
114,64,Male,Loafers,Footwear,230.82,Florida,L,Blue,Winter,3.2,0,Free Shipping,1,15,Credit Card,Weekly,51-65,7
115,30,Female,Hat,Accessories,38.09,Florida,XL,Red,Summer,1.9,1,Next Day,1,1,PayPal,Fortnightly,26-35,14
116,40,Male,Dress,Clothing,162.49,Texas,M,Green,Summer,1.8,0,Standard,0,12,Cash,Weekly,36-50,7
117,49,Male,Dress,Clothing,46.7,Florida,M,Red,Winter,4.3,0,Free Shipping,0,9,Credit Card,Monthly,36-50,30
118,51,Female,Sweater,Outerwear,122.93,Washington,L,Green,Spring,4.7,0,Express,0,3,PayPal,Annually,51-65,365
119,59,Male,Shirt,Clothing,42.94,Florida,S,Red,Fall,2.3,0,Standard,0,1,Venmo,Monthly,51-65,30
120,61,Male,Shirt,Clothing,273.66,Washington,L,Yellow,Spring,2.9,1,Standard,0,1,Venmo,Weekly,51-65,7
121,42,Male,Dress,Clothing,142.21,Texas,M,Yellow,Fall,2.8,0,Standard,0,7,Cash,Annually,36-50,365
122,18,Male,Hoodie,Outerwear,141.13,California,XL,White,Fall,3.7,1,Free Shipping,1,8,Credit Card,Monthly,18-25,30
123,28,Male,Jacket,Outerwear,137.72,Texas,XL,Yellow,Fall,4.5,0,Next Day,1,12,Venmo,Fortnightly,26-35,14
124,27,Female,Loafers,Footwear,26.5,Illinois,L,Blue,Winter,2.5,1,Express,0,7,Credit Card,Monthly,26-35,30
125,41,Male,Sneakers,Footwear,262.4,Illinois,S,Black,Summer,1.7,0,Free Shipping,1,4,Venmo,Fortnightly,36-50,14
126,52,Female,Blouse,Clothing,242.79,New York,XL,Yellow,Spring,2.8,1,Standard,0,1,PayPal,Annually,51-65,365
127,25,Male,Skirt,Clothing,206.29,Illinois,S,Yellow,Summer,3.3,1,Next Day,1,6,PayPal,Weekly,18-25,7
128,52,Male,Skirt,Clothing,40.13,Washington,M,Red,Spring,2.1,0,Next Day,1,6,Venmo,Weekly,51-65,7
129,64,Male,Hat,Accessories,139.53,Illinois,L,Red,Fall,4.6,1,Express,1,4,Cash,Fortnightly,51-65,14
130,40,Female,Pants,Clothing,274.57,California,L,White,Spring,2.9,1,Free Shipping,1,6,Bank Transfer,Monthly,36-50,30
131,61,Male,Sweater,Outerwear,79.21,Texas,S,White,Winter,1.1,0,Standard,0,14,Cash,Monthly,51-65,30
132,49,Male,Boots,Footwear,168.29,Florida,M,Blue,Spring,4.5,1,Standard,0,7,Bank Transfer,Monthly,36-50,30
133,60,Female,Jacket,Outerwear,250.8,Illinois,L,White,Summer,1.9,1,Free Shipping,1,14,Cash,Annually,51-65,365
134,38,Male,Jacket,Outerwear,167.07,Florida,M,Green,Fall,1.5,1,Next Day,0,14,Cash,Annually,36-50,365
135,58,Male,Backpack,Accessories,56.57,New York,L,Red,Fall,1.5,0,Free Shipping,0,2,Cash,Fortnightly,51-65,14
136,39,Female,Boots,Footwear,285.03,Florida,M,Black,Fall,2.2,0,Standard,0,15,Venmo,Fortnightly,36-50,14
137,38,Female,Pants,Clothing,112.07,New York,L,Black,Fall,4.5,1,Express,0,8,Bank Transfer,Monthly,36-50,30
138,31,Male,Hat,Accessories,274.96,California,XL,Yellow,Summer,3.6,1,Express,1,8,Credit Card,Fortnightly,26-35,14
139,19,Male,Boots,Footwear,271.04,California,XL,White,Winter,1.3,1,Next Day,0,7,Cash,Annually,18-25,365
140,56,Male,Pants,Clothing,95.21,Illinois,XL,White,Spring,4.0,1,Express,0,5,Venmo,Monthly,51-65,30
141,28,Female,Sweater,Outerwear,148.91,Washington,XL,White,Summer,2.3,0,Standard,0,3,Credit Card,Weekly,26-35,7
142,18,Female,Sandals,Footwear,67.63,New York,M,Yellow,Winter,5.0,0,Free Shipping,1,1,Bank Transfer,Monthly,18-25,30
143,69,Male,Sneakers,Footwear,215.5,Texas,XL,Green,Fall,4.0,0,Express,0,7,Bank Transfer,Fortnightly,66+,14
144,55,Female,Belt,Accessories,247.28,Texas,S,Black,Winter,1.5,0,Standard,1,14,PayPal,Fortnightly,51-65,14
145,70,Female,Loafers,Footwear,117.84,Florida,XL,Yellow,Winter,4.4,0,Express,1,2,PayPal,Weekly,66+,7
146,24,Male,Blouse,Clothing,216.87,Washington,M,Blue,Summer,1.7,0,Free Shipping,0,11,PayPal,Annually,18-25,365
147,45,Female,Belt,Accessories,128.52,New York,XL,Red,Spring,4.6,0,Next Day,1,4,PayPal,Annually,36-50,365
148,37,Female,Belt,Accessories,57.82,Washington,S,Black,Fall,3.5,0,Free Shipping,0,8,Venmo,Fortnightly,36-50,14
149,52,Female,Backpack,Accessories,99.04,Illinois,L,Green,Summer,1.4,1,Express,0,3,PayPal,Fortnightly,51-65,14
150,26,Male,Sandals,Footwear,104.01,Florida,L,Green,Summer,3.1,1,Next Day,0,11,Credit Card,Fortnightly,26-35,14
151,58,Female,Loafers,Footwear,238.11,Illinois,XL,Red,Spring,4.6,1,Standard,1,3,Bank Transfer,Annually,51-65,365
152,32,Male,Sunglasses,Accessories,146.43,Illinois,XL,Blue,Summer,2.2,0,Express,1,15,PayPal,Weekly,26-35,7
153,43,Male,Jacket,Outerwear,64.76,Texas,XL,Blue,Summer,2.0,0,Express,0,7,Bank Transfer,Monthly,36-50,30
154,29,Male,Hat,Accessories,249.85,New York,L,Green,Fall,1.7,1,Next Day,0,11,Venmo,Fortnightly,26-35,14
155,21,Female,Coat,Outerwear,264.83,Illinois,L,White,Winter,4.7,1,Next Day,0,9,Bank Transfer,Annually,18-25,365
156,23,Female,Hoodie,Outerwear,268.39,Texas,L,Green,Spring,4.7,1,Standard,1,1,Cash,Annually,18-25,365
157,62,Male,Hoodie,Outerwear,71.01,Texas,L,Red,Fall,1.1,1,Next Day,0,5,Cash,Fortnightly,51-65,14
158,22,Male,Sandals,Footwear,237.68,Texas,M,Green,Fall,4.1,1,Standard,0,15,Bank Transfer,Weekly,18-25,7
159,51,Female,Skirt,Clothing,254.15,New York,M,Blue,Summer,1.1,0,Standard,1,1,Cash,Fortnightly,51-65,14
160,35,Female,Boots,Footwear,140.61,New York,L,Blue,Fall,1.8,0,Standard,1,9,Cash,Weekly,26-35,7
161,18,Male,Skirt,Clothing,222.14,Washington,L,Blue,Spring,1.8,1,Next Day,0,7,Credit Card,Weekly,18-25,7
162,63,Male,Boots,Footwear,268.19,Illinois,S,White,Winter,5.0,1,Next Day,0,5,Credit Card,Annually,51-65,365
163,54,Female,Coat,Outerwear,224.19,Texas,S,Red,Summer,3.2,0,Express,1,2,Cash,Annually,51-65,365
164,62,Female,Dress,Clothing,61.09,Washington,L,Red,Summer,1.2,1,Express,0,5,Bank Transfer,Fortnightly,51-65,14
165,38,Male,Sweater,Outerwear,167.92,New York,S,White,Summer,4.1,0,Express,0,3,PayPal,Annually,36-50,365
166,58,Male,Boots,Footwear,27.6,Florida,M,Green,Spring,2.5,0,Express,1,13,PayPal,Weekly,51-65,7
167,30,Male,Sweater,Outerwear,44.09,Florida,XL,Green,Fall,1.9,1,Express,1,13,Bank Transfer,Annually,26-35,365
168,57,Male,Belt,Accessories,269.61,New York,L,Black,Winter,2.1,1,Free Shipping,1,4,Credit Card,Weekly,51-65,7
169,44,Male,Sweater,Outerwear,140.71,Texas,S,Red,Fall,1.9,0,Standard,1,12,PayPal,Annually,36-50,365
170,62,Male,Loafers,Footwear,40.09,New York,L,Yellow,Fall,1.2,0,Standard,0,8,Credit Card,Annually,51-65,365
171,26,Female,Skirt,Clothing,127.43,California,XL,Red,Spring,4.8,0,Next Day,0,9,PayPal,Annually,26-35,365
172,41,Female,Sandals,Footwear,89.35,Washington,M,Red,Spring,2.8,1,Standard,0,2,PayPal,Annually,36-50,365
173,60,Male,Loafers,Footwear,87.53,Washington,M,Black,Fall,3.0,1,Next Day,1,12,PayPal,Monthly,51-65,30
174,53,Female,Sneakers,Footwear,253.08,Washington,XL,Yellow,Spring,4.3,0,Standard,1,14,Venmo,Annually,51-65,365
175,47,Male,Blouse,Clothing,80.68,Texas,S,Green,Summer,2.6,1,Express,0,3,Credit Card,Annually,36-50,365
176,68,Female,Pants,Clothing,208.44,Washington,XL,Green,Summer,2.7,0,Standard,1,10,Venmo,Annually,66+,365
177,34,Female,Scarf,Accessories,212.91,California,L,White,Summer,3.6,1,Express,1,11,Venmo,Weekly,26-35,7
178,63,Female,Sneakers,Footwear,199.15,Washington,L,Red,Fall,1.2,1,Free Shipping,0,3,Credit Card,Monthly,51-65,30
179,52,Female,Backpack,Accessories,216.56,California,XL,Black,Spring,2.6,0,Express,0,8,Venmo,Annually,51-65,365
180,31,Male,Loafers,Footwear,133.19,Washington,M,Black,Winter,4.6,0,Next Day,1,6,Venmo,Weekly,26-35,7
181,27,Female,Hat,Accessories,43.89,California,M,Blue,Spring,2.6,0,Next Day,1,14,PayPal,Annually,26-35,365
182,19,Female,Sweater,Outerwear,220.66,Washington,L,Yellow,Spring,2.7,1,Free Shipping,0,3,Cash,Fortnightly,18-25,14
183,50,Male,Sunglasses,Accessories,42.24,Washington,XL,Green,Fall,2.6,0,Standard,0,13,Venmo,Monthly,36-50,30
184,61,Female,Sandals,Footwear,232.48,California,S,Green,Summer,1.4,0,Express,0,10,Bank Transfer,Monthly,51-65,30
185,19,Female,Pants,Clothing,250.34,Washington,L,Blue,Summer,1.1,0,Express,1,1,Credit Card,Fortnightly,18-25,14
186,38,Female,Sandals,Footwear,249.96,Florida,S,White,Spring,1.5,0,Express,1,15,Bank Transfer,Fortnightly,36-50,14
187,36,Male,Dress,Clothing,107.56,Illinois,S,Blue,Spring,3.1,1,Free Shipping,0,7,Cash,Monthly,36-50,30
188,22,Female,Hoodie,Outerwear,216.23,Texas,S,Red,Summer,3.6,1,Standard,0,3,Credit Card,Weekly,18-25,7
189,55,Female,Boots,Footwear,256.85,Florida,M,Blue,Spring,4.0,1,Standard,0,6,Cash,Weekly,51-65,7
190,24,Male,Sunglasses,Accessories,66.77,Illinois,M,Black,Summer,2.4,1,Express,0,7,Bank Transfer,Weekly,18-25,7
191,67,Male,Belt,Accessories,254.9,California,M,Yellow,Summer,3.4,0,Standard,0,14,Venmo,Annually,66+,365
192,47,Female,Boots,Footwear,159.25,Illinois,L,Yellow,Winter,4.2,1,Standard,0,5,Bank Transfer,Annually,36-50,365
193,24,Female,Loafers,Footwear,184.99,Washington,S,Green,Summer,1.2,1,Standard,0,6,Credit Card,Monthly,18-25,30
194,61,Female,Boots,Footwear,134.55,California,S,White,Spring,3.8,0,Standard,0,5,Venmo,Fortnightly,51-65,14
195,61,Female,Belt,Accessories,292.94,Texas,S,Green,Fall,2.9,0,Next Day,0,4,Venmo,Monthly,51-65,30
196,22,Male,Blouse,Clothing,197.97,Florida,S,Yellow,Spring,1.5,1,Express,0,11,Bank Transfer,Fortnightly,18-25,14
197,36,Male,Blouse,Clothing,123.48,Texas,M,Green,Summer,1.4,1,Next Day,0,3,PayPal,Monthly,36-50,30
198,38,Male,Pants,Clothing,200.26,Washington,XL,Blue,Spring,3.1,1,Next Day,0,14,Cash,Fortnightly,36-50,14
199,47,Female,Scarf,Accessories,69.26,Florida,M,Blue,Spring,1.2,0,Express,0,10,PayPal,Fortnightly,36-50,14
200,42,Female,Shirt,Clothing,61.53,Illinois,XL,White,Summer,2.9,1,Express,0,9,Venmo,Weekly,36-50,7
201,29,Female,Sweater,Outerwear,181.41,California,XL,Blue,Spring,1.3,1,Standard,1,9,PayPal,Annually,26-35,365
202,55,Female,Skirt,Clothing,191.33,California,XL,Yellow,Winter,3.5,1,Express,1,10,Cash,Fortnightly,51-65,14
203,70,Female,Sandals,Footwear,255.33,California,L,Red,Fall,1.8,0,Next Day,1,10,Bank Transfer,Weekly,66+,7
204,56,Male,Jacket,Outerwear,139.25,Texas,XL,Red,Fall,1.9,1,Free Shipping,1,11,Bank Transfer,Fortnightly,51-65,14
205,44,Female,Jacket,Outerwear,265.14,California,XL,Blue,Winter,2.5,1,Express,1,15,Bank Transfer,Annually,36-50,365
206,59,Female,Loafers,Footwear,189.11,Washington,S,Red,Summer,3.8,1,Free Shipping,1,6,Credit Card,Weekly,51-65,7
207,30,Female,Loafers,Footwear,128.62,California,M,Black,Spring,4.4,1,Standard,0,11,Credit Card,Fortnightly,26-35,14
208,33,Male,Sunglasses,Accessories,221.08,Texas,XL,Red,Winter,1.4,1,Express,1,8,PayPal,Fortnightly,26-35,14
209,65,Female,Belt,Accessories,229.22,California,S,Black,Summer,1.9,0,Standard,1,1,Cash,Annually,51-65,365
210,59,Male,Hoodie,Outerwear,95.98,Texas,L,Red,Winter,2.7,0,Free Shipping,0,12,Credit Card,Weekly,51-65,7
